question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	For each of the following statements please indicate how much each of the following statements reflects how you typically are.	0	2		
radio	I am good at resisting temptation. 	1	3	Not at all: 1,2,3,4,Very much: 5	1,2,3,4,5
radio	I have a hard time breaking bad habits.	1	3	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I am lazy.	1	3	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I say inappropriate things.	1	3	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I do certain things that are bad for me, if they are fun.	1	3	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I refuse things that are bad for me.	1	3	Not at all: 1,2,3,4,Very much: 5	1,2,3,4,5
radio	I wish I had more self-discipline.	1	4	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	People would say that I have iron self-discipline.	1	4	Not at all: 1,2,3,4,Very much: 5	1,2,3,4,5
radio	Pleasure and fun sometimes keep me from getting work done.	1	4	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I have trouble concentrating.	1	4	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I am able to work effectively toward long-term goals.	1	4	Not at all: 1,2,3,4,Very much: 5	1,2,3,4,5
radio	Sometimes I can’t stop myself from doing something, even if I know it is wrong.	1	4	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
radio	I often act without thinking through all the alternatives.	1	4	Not at all: 1,2,3,4,Very much: 5	5,4,3,2,1
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	5		
