question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	"This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent [INSERT APPROPRIATE TIME INSTRUCTIONS HERE]. Timescales used:
Moment (you feel this way right now, that is,at the present moment) 
Today (you have felt this way today)
Past few days(you have felt this way during the past few days)
Week (you have felt this way during the past week)
Past few weeks(you have felt this way during the past few weeks)
Year (you have felt this way during the past year)
General (you generally feel this way,that is, how you feel on the average)
"	0	2		
radio	Interested	1	3	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Distressed	1	3	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Excited	1	3	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Upset	1	3	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Strong	1	3	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Guilty	1	3	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Scared	1	4	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Hostile	1	4	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Enthusiastic	1	4	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Proud	1	4	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Irritable	1	4	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Alert	1	4	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Ashamed	1	5	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Inspired	1	5	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Nervous	1	5	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Determined	1	5	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Attentive	1	5	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Jittery	1	5	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Active	1	6	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
radio	Afraid	1	6	Very slightly or not at all: 1,A little: 2,Moderately: 3,Quite a bit: 4,Extremely: 5	1,2,3,4,5
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	7		
