question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. 	0	2		
radio	On the whole, I am satisfied with myself.	1	3	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	0,1,2,3
radio	At times I think I am no good at all.	1	3	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	3,2,1,0
radio	I feel that I have a number of good qualities.	1	3	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	0,1,2,3
radio	I am able to do things as well as most other people	1	3	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	0,1,2,3
radio	I feel I do not have much to be proud of.	1	3	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	3,2,1,0
radio	I certainly feel useless at times.	1	3	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	3,2,1,0
radio	I feel that I'm a person of worth, at least on an equal plane with others.	1	4	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	0,1,2,3
radio	I wish I could have more respect for myself.	1	4	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	3,2,1,0
radio	All in all, I am inclined to feel that I am a failure.	1	4	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	3,2,1,0
radio	I take a positive attitude toward myself.	1	4	Strongly disagree: 0,Disagree: 1,Agree: 2,Strongly agree: 3	0,1,2,3
