question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	For each item on this page, choose the answer (from the choices just below) that best reflects how likely you are to set that as a goal for yourself. Code that answer onto your answer sheet.	0	2		
radio	Celebrities will want to be your friends.	1	3	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	Each day of your work will be fulfilling.	1	3	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	Everyone you know will love you.	1	3	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	Someone will write a book about your life.	1	3	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	Whenever you have a problem, your friends will drop what they are doing to support you.	1	3	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will appear regularly on TV.	1	3	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will be famous.	1	4	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will be important in political circles.	1	4	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will be on a magazine list of the sexiest people alive. 	1	4	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will be president of your country.	1	4	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will create a great work of art, music, or poetry.	1	4	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will create world peace.	1	4	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will develop a TV show or a movie.	1	5	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will do only things you really like to do, and nothing else.	1	5	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will enjoy every day to the max.	1	5	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will have 10 close friends.	1	5	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will have 100 friends.	1	5	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will have 20 million dollars or more.	1	5	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will have 40 close friends.	1	6	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will have a major role in a movie.	1	6	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
radio	You will have a million dollars or more.	1	6	NO CHANCE I will set this goal for myself: 1,Slight chance I will set this goal for myself: 2,Moderate chance I will set this goal for myself: 3,Very good chance I will set this goal for myself: 4, Definitely WILL set this goal for myself: 5	1,2,3,4,5
